"Enter 'Start' and 'End'  in Species column and Start/End times, latitude, longitude, and odometer in Detection Time, Detection Lat, Detection Long, and Odometer columns.  The 'Young ?' column has been discontinued as of 11/6.  Instead enter the 'Major group activty' (what was the the majority activity in the group).  Also note any visual aid used to confirm group size.  I have added extra columns for Odometer and for group composition (if you recorded composition).",,,,,,,,,,,,,,,,,,,,only enter composition data if you are confident. These should sum to 'Total Group Size',,,,,,,,,,
Transect ID,Date,Driver,Primary Observer initials,Secondary Observers,Species,Odometer (always enter if GPS fails),Detection Activity,Detection Shadow,Detection Age/Sex,Detection Surface,Detection Angle,"Compass Type (phone app, GPS, magnetic north, true north)",Detection Time,Detection Latitude,Detection Longitude,Detection Distance ,Detection Visual Aid,Detector Initials,Total Group Size,unknown,adults (unk sex),adult males,adult females,juveniles,adult female or juvenile (def. not adult male),Majority group activity,Any visual aid used for group size?,Notes,DC comments,Your Response
Lakes,11/03/2022,KCJ,ERS,KCJ,START,62963,,,,,,,14:10,41.23349,105.741371,,,,,,,,,,,,,,,
Lakes,11/03/2022,KCJ,ERS,KCJ,pronghorn,,foraging,overcast,unknown,shrubland,103,,14:18,41.226711,105.856586,76.6,naked eye,ERS,23,0,16,1,4,2,,foraging,binoculars,young were present,,
Lakes,11/03/2022,KCJ,ERS,KCJ,pronghorn,,foraging,overcast,unknown,shrubland,209,,14:32,41.218883,105.886733,254.4,naked eye,ERS,14,2,10,0,0,2,,foraging,binoculars,"began snowing, young were present",,
Lakes,11/03/2022,KCJ,ERS,KCJ,END,62974,,,,,,,14:44,41.236823,105.932562,,,,,,,,,,,,,,,
Bakery,11/5/22,ES,AS,CLS,START,90528,,,,,,,11:43,41.3328669,-105.7140306,,,,,,,,,,,,,odometer: 90528; very windy,,
Bakery,11/5/22,ES,AS,CLS,START,90549,,,,,,,12:11,41.3088,-105.87392,,,,,,,,,,,,,odometer: 90549,,
Lakes,11/6/2022,DAC,EAC,"KLC, KDC",START,133903,,,,,,,7:40,41.2337,-105.7414,,,,,,,,,,,,,patchy snow on ground,,
Lakes,11/6/2022,DAC,EAC,"KLC, KDC",mule deer,,"grazing/standing, head down",overcast,adult female,developed/grass,161,,8:04,41.2337,-105.8404,270,naked eye,DAC,3,,,,2,1,,grazing,IS binoculars,patchy snow on ground,,
Lakes,11/6/2022,DAC,EAC,"KLC, KDC",pronghorn,,"standing, head up",overcast,unknown,shrubland,312,,8:11,41.2258,-105.8575,500,naked eye,EAC,23,23,,,,,,grazing,IS binoculars,patchy snow on ground,,
Lakes,11/6/2022,DAC,EAC,"KLC, KDC",pronghorn,,"grazing/standing, head down",overcast,adult female,shrubland,320,,8:22,41.2187,-105.8921,280,naked eye,EAC,3,,,,3,,,grazing,IS binoculars,patchy snow on ground,,
Lakes,11/6/2022,DAC,EAC,"KLC, KDC",pronghorn,,"grazing/standing, head down",overcast,adult female,shrubland,286,,8:25,41.2187,-105.8921,506,naked eye,DAC,12,,,,9,3,,grazing,IS binoculars,patchy snow on ground,,
Lakes,11/6/2022,DAC,EAC,"KLC, KDC",END,133913,,,,,,,8:37,41.234,-105.9133,,,,,,,,,,,,,patchy snow on ground,,
Bosler,11/5/2022,TV,CW,,START,77071,,,,,,,8:42,41.32552,-105.59929,,,,,,,,,,,,,,,
Bosler,11/5/2022,TV,CW,,Pronghorn,,grazing,overcast,adult female,grass,116,,8:51,41.35661,-105.58861,573,naked eye ,CW,7,,,2,5,,,grazing,binoculars,,,
Bosler,11/5/2022,TV,CW,,Pronghorn,,grazing,overcast,adult male,grass,81,,8:57,41.37189,-105.58697,59,naked eye ,CW,1,,,1,,,,grazing,none,,,
Bosler,11/5/2022,TV,CW,,mule deer,,grazing,overcast,adult female,grass,235,,9:00,41.37189,-105.58697,61,naked eye ,CW,5,,,1,3,1,,grazing,none,,,
Bosler,11/5/2022,TV,CW,,mule deer,,dedded,overcast,adult female,grass,194,,9:04,41.39813,-105.5949,83,naked eye ,CW,6,,,,4,6,,dedded,none,,,
Bosler,11/5/2022,TV,CW,,Pronghorn,,grazing,overcast,unknown,grass,16,,9:30,41.6655,-105.7958,342,naked eye ,CW,28,25,,3,,,,grazing,binoculars,,,
Bosler,11/5/2022,TV,CW,,Pronghorn,,grazing,overcast,unknown,grass,306,,9:33,41.6655,-105.7958,521,naked eye ,CW,35,23,,2,,,,grazing,binoculars,,,
Bosler,11/5/2022,TV,CW,,END,77098,,,,,,,9:35,41.66894,-105.7995,,,,,,,,,,,,,,,
Roger Canyon,11/5/2022,TV,CW,,START,77229,,,,,,,2:25,41.33029,-105.58336,,,,,,,,,,,,,,,
Roger Canyon,11/5/2022,TV,CW,,Pronghorn,,grazing,overcast,adult male,grass,310,,2:31,41.34507,-105.56754,30,naked eyre,CW,8,,,1,6,1,,grazing,none,,,
Roger Canyon,11/5/2022,TV,CW,,Pronghorn,,grazing,overcast,adult female,grass,233,,2:20,41.40998,-105.20528,235,naked eyre,CW,15,,,3,11,1,,grazing,binoculars,,,
Roger Canyon,11/5/2022,TV,CW,,END,77255,,,,,,,3:24,41.41399,-105.18227,,,,,,,,,,,,,,,
Centennial,11/5/2022,ES,CLS,AS,START,90477,,,,,,,10:41,41.31459,-105.6299,,,,,,,,,,,,,,,
